model_name,url,url.1,model_description,params,model_size,updated_url
huggingface-baai-bge-small-en-v1.5,https://huggingface.co/baai/bge-small-en-v1.5,https://huggingface.co/baai/bge-small-en-v1.5,feature-extraction,,,https://huggingface.co/baai/bge-small-en-v1.5
huggingface-baconnier-finance_embedding_large_en-V0.1,https://huggingface.co/bacoonier/finance_embedding_large_en-V0.1,https://huggingface.co/bacoonier/finance_embedding_large_en-V0.1,,,,https://huggingface.co/bacoonier/finance_embedding_large_en-V0.1
huggingface-bart_lfqa,,,,,,
huggingface-bart-base,,,,,,
huggingface-bart-large-cnn,,,,,,
huggingface-bart-large-mnli,,,,,,
huggingface-bartowski-llama-3-8B-Instruct-Gradient-1048K-exl2,https://huggingface.co/bartowski/Llama-3-8B-Instruct-Gradient-1048k-exl2,https://huggingface.co/bartowski/Llama-3-8B-Instruct-Gradient-1048k-exl2,text-generation,,,https://huggingface.co/bartowski/Llama-3-8B-Instruct-Gradient-1048k-exl2
huggingface-bert-base-cased,https://huggingface.co/bert-base-cased,https://huggingface.co/bert-base-cased,fill-mask,,,https://huggingface.co/bert-base-cased
huggingface-bert-base-uncased,https://huggingface.co/bert-base-uncased,https://huggingface.co/bert-base-uncased,fill-mask,,,https://huggingface.co/bert-base-uncased
huggingface-bert-large-question-answering-finetuned-legal,https://huggingface.co/atharvamundada99/bert-large-question-answering-finetuned-legal/tree/main,https://huggingface.co/atharvamundada99/bert-large-question-answering-finetuned-legal/tree/main,question-answering,,,https://huggingface.co/atharvamundada99/bert-large-question-answering-finetuned-legal
huggingface-bigscience-bloom-1b7,,,,,,
huggingface-bigscience-bloom-3b,,,,,,
huggingface-bigscience-bloom-560m,,,,,,
huggingface-bigscience-bloom-7b1,,,,,,
huggingface-bigscience-bloomz-3b,,,,,,
huggingface-bigscience-sgpt-bloom-7b1-msmarco,https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco,https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco,sentence-similarity,,,https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco
huggingface-clibrain-mamba-2.8b-instruct-openhermes,,,,,,
huggingface-codebert-base,https://huggingface.co/microsoft/codebert-base,https://huggingface.co/microsoft/codebert-base,feature-extraction,,,https://huggingface.co/microsoft/codebert-base
huggingface-codellama-codellama-7b-hf,https://huggingface.co/codellama/CodeLlama-7b-hfLink,https://huggingface.co/codellama/CodeLlama-7b-hfLink,,,,https://huggingface.co/codellama/CodeLlama-7b-hfLink
huggingface-codellama-codellama-7b-instruct-hf,,,,,,
Huggingface-Cohere-Cohere-embed-english-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0
Huggingface-Cohere-Cohere-embed-english-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-english-v3.0
Huggingface-Cohere-Cohere-embed-multilingual-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0
Huggingface-Cohere-Cohere-embed-multilingual-v3.0,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0
huggingface-databricks-dbrx-base,https://huggingface.co/databricks/dbrx-base,https://huggingface.co/databricks/dbrx-base,,,,https://huggingface.co/databricks/dbrx-base
huggingface-databricks-dbrx-instruct,https://huggingface.co/databricks/dbrx-instruct,https://huggingface.co/databricks/dbrx-instruct,,,,https://huggingface.co/databricks/dbrx-instruct
huggingface-deepset-xlm-roberta-large-squad2,https://huggingface.co/deepset/xlm-roberta-large-squad2,https://huggingface.co/deepset/xlm-roberta-large-squad2,question-answering,,,https://huggingface.co/deepset/xlm-roberta-large-squad2
huggingface-distilbert-base-cased-distilled-squad,https://huggingface.co/distilbert-base-cased-distilled-squad,https://huggingface.co/distilbert-base-cased-distilled-squad,question-answering,,,https://huggingface.co/distilbert-base-cased-distilled-squad
huggingface-distilbert-base-uncased-finetuned-sst-2-english,https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english,https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english,text-classification,,,https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english
huggingface-distilbert-distilbert-base-uncased,https://huggingface.co/distilbert/distilbert-base-uncased,https://huggingface.co/distilbert/distilbert-base-uncased,fill-mask,,,https://huggingface.co/distilbert/distilbert-base-uncased
huggingface-distil-whisper-distil-large-v2,https://huggingface.co/distil-whisper/distil-large-v2,https://huggingface.co/distil-whisper/distil-large-v2,automatic-speech-recognition,,,https://huggingface.co/distil-whisper/distil-large-v2
huggingface-distil-whisper-distil-large-v3.5,https://huggingface.co/distil-whisper/distil-large-v3.5,https://huggingface.co/distil-whisper/distil-large-v3.5,automatic-speech-recognition,,,https://huggingface.co/distil-whisper/distil-large-v3.5
huggingface-dleemiller-word-llama-l2-supercat,https://huggingface.co/dleemiller/word-llama-l2-supercat/resolve/main/l2_supercat_tokenizer_config.json,https://huggingface.co/dleemiller/word-llama-l2-supercat/resolve/main/l2_supercat_tokenizer_config.json,,,,https://huggingface.co/dleemiller/word-llama-l2-supercat
huggingface-dwzhu-e5-base-4k,https://huggingface.co/dwzhu/e5-base-4k,https://huggingface.co/dwzhu/e5-base-4k,sentence-similarity,,,https://huggingface.co/dwzhu/e5-base-4k
huggingface-E3-JSI-gliner-multi-pii-domains-v1,https://huggingface.co/E3-JSI/gliner-multi-pii-domains-v1,https://huggingface.co/E3-JSI/gliner-multi-pii-domains-v1,token-classification,,,https://huggingface.co/E3-JSI/gliner-multi-pii-domains-v1
huggingface-electra-small-discriminator,,,,,,
huggingface-EleutherAi-pythia-12b,https://huggingface.co/eleutherai/pythia-12B,https://huggingface.co/eleutherai/pythia-12B,text-generation,,,https://huggingface.co/eleutherai/pythia-12B
huggingface-FacebookAI-xlm-roberta-large,,,,,,
huggingface-FacebookAI-xlm-roberta-large,https://huggingface.co/FacebookAI/xlm-roberta-large,https://huggingface.co/FacebookAI/xlm-roberta-large,fill-mask,,,https://huggingface.co/FacebookAI/xlm-roberta-large
